date,course_code,note
2025-05-26,EGCO3230,
2025-05-26,EGCO3230,
2025-05-26,EGCO2210,
2025-05-26,EGEC3110,
2025-05-27,EGCO4220,
2025-05-27,EGCO4220,
2025-05-27,EGEC4120,
2025-05-27,EGEC4120,
2025-05-27,EGCO2120,
2025-05-28,EGEL2210,
2025-05-28,EGEL2210,
2025-05-28,EGEL2210,
2025-05-28,EGEE4270,
2025-05-29,EGEL3130,
2025-05-29,EGEL3130,
2025-05-29,EGCO3140,
2025-05-30,EGCO3120,
2025-05-30,EGCO3120,
2025-05-30,EGEC4260,
2025-05-30,EGEC4260,
2025-05-30,EGCO4120,
2025-05-30,EGEC4110,
2025-05-30,EGEC2220,
2025-06-02,EGC04110,
2025-06-02,EGC04110,
2025-06-03,EGEC2240,
2025-06-03,EGEL4220,
2025-06-04,EGEC3210,
2025-06-04,EGEC3210,
2025-06-04,EGEC3210,
2025-06-04,EGEC3210,
2025-06-04,EGEC3210,
2025-06-04,EGEL3230,
2025-06-04,EGEL3230,
2025-06-04,EGEL3230,
2025-06-05,EGEC2130,
2025-06-05,EGEC2130,
2025-06-05,EGEC2130,
2025-06-05,EGEC2130,
2025-06-06,EGEC3130,
2025-06-06,EGEC3130,
2025-06-06,EGEC2230,
2025-06-06,EGEC2230,
2025-06-06,EGCO4261,
2025-06-06,EGEC3120,
2025-06-09,EGEL3220,
2025-06-09,EGEL3220,
2025-06-09,EGEC4210,
2025-06-09,EGEC4210,
2025-06-09,EGCO2110,
2025-06-10,EGCO4110,
2025-06-10,EGCO4110,
2025-06-10,EGEC4220,
2025-06-10,EGEC4220,
2025-06-11,EGEL3110,
2025-06-12,EGEC3140,
2025-06-12,EGEC3140,
2025-06-12,EGEL3261,
2025-06-13,EGCO4230,
