date,course_code,note
2025-05-26,EGEC4220,
2025-05-26,EGEC2230,
2025-05-26,EGEL4220,
2025-05-27,EGCO3120,
2025-05-27,EGCO3120,
2025-05-27,EGCO3120,
2025-05-27,EGEC2130,
2025-05-27,EGEC2130,
2025-05-28,EGCO3230,
2025-05-29,EGCO4230,
2025-05-29,EGCO4230,
2025-05-29,EGCO4230,
2025-05-29,EGEC2240,
2025-05-30,EGEC4110,
2025-05-30,EGEC4110,
2025-05-30,EGEC3110,
2025-05-30,EGEE4270,
2025-06-02,EGCO3140,
2025-06-02,EGCO3140,
2025-06-02,EGCO3140,
2025-06-03,EGEC3140,
2025-06-03,EGEC3140,
2025-06-03,EGEC4120,
2025-06-03,EGEC4120,
2025-06-03,EGEC4210,
2025-06-03,EGEL4161,
2025-06-04,EGEL3210,
2025-06-04,EGEL3210,
2025-06-04,EGEL3210,
2025-06-04,EGEL3210,
2025-06-04,EGEL4260,
2025-06-04,EGEL4260,
2025-06-04,EGEL4260,
2025-06-04,EGEL4260,
2025-06-05,EGCO4261,
2025-06-06,EGEL2110,
2025-06-06,EGEL2110,
2025-06-06,EGC04110,
2025-06-06,EGEL2210,
2025-06-09,EGEL3220,
2025-06-09,EGEL3220,
2025-06-09,EGEC4160,
2025-06-09,EGEC4160,
2025-06-09,EGEL4210,
2025-06-11,EGEL4120,
2025-06-11,EGEL4120,
2025-06-11,EGCO3210,
2025-06-11,EGCO2120,
2025-06-12,EGCO3260,
2025-06-12,EGCO3260,
2025-06-12,EGEL3130,
2025-06-12,EGEL3130,
2025-06-12,EGCO2210,
2025-06-13,EGEC2220,
2025-06-13,EGEC2220,
2025-06-13,EGEL3261,
2025-06-13,EGEL3261,
